STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,PROGRAM_CURRENT_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,PROGRAM_OTHER_EXPENDITURE,PROGRAM_NON_ELSEC_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
South Carolina,2003,5709707,535356,2761951,2412400,6024752,4879267,2888468,1731333,259466,64775,865462
South Dakota,2003,965778,148498,328576,488704,993823,833836,499480,295468,38888,3806,122247
Tennessee,2003,5994756,608447,2648909,2737400,6482671,5612097,3621601,1716956,273540,67515,635950
Texas,2003,35143236,3360082,13675228,18107926,37333674,29730384,18009879,10264033,1456472,274659,4764154
Utah,2003,2875622,263030,1607204,1005388,2957874,2347738,1508566,705128,134044,71103,469251
Vermont,2003,1451171,79956,779124,592091,1440961,1036490,662999,345187,28304,3985,46411
Virginia,2003,10504167,698716,4087720,5717731,10746679,9208267,5661291,3184333,362643,63290,1069375
Washington,2003,8565636,702469,5334268,2528899,8802387,7204720,4332487,2514359,357874,38210,1189781
West Virginia,2003,2497707,267470,1519848,710389,2524444,2313997,1420396,761887,131714,32759,166233
Wisconsin,2003,8931497,530014,4838109,3563374,9128279,7875729,4844788,2757563,273378,72947,733156
Wyoming,2003,962240,84308,489199,388733,915515,791036,473447,292271,25318,2290,110312
Alabama,2004,5356113,625666,2971520,1758927,5450269,4788729,2875595,1580654,332480,101042,449619
Alaska,2004,1477152,286447,809810,380895,1647250,1346690,775069,527349,44272,10203,255826
Arizona,2004,7117923,835464,3181009,3101450,6731212,5629209,3224647,2115629,288933,43295,829146
Arkansas,2004,3385818,423001,2430731,532086,3539581,3058588,1863515,1036291,158782,23929,362154
California,2004,60162326,6634068,31756690,21771568,62647953,48740822,29624968,17338877,1776977,1271029,9242549
Colorado,2004,6527456,435102,2834744,3257610,6869975,5613532,3232723,2190563,190246,55183,859189
Connecticut,2004,7276945,358769,2520724,4397452,7087023,6172000,3896977,2044339,230684,36320,587992
Delaware,2004,1334523,104492,827110,402921,1373416,1147581,709545,393664,44372,12638,158252
District of Columbia,2004,1081501,167020,0,914481,1087040,936196,515377,397800,23019,13161,128227
Florida,2004,21623923,2174314,9593760,9855849,21896220,17589859,10411050,6317387,861422,436804,3365514
Georgia,2004,14136215,1201843,6333305,6601067,13779680,11772664,7492703,3675160,604801,54630,1767711
Hawaii,2004,2138137,236470,1850737,50930,1734591,1566793,943647,544864,78282,51458,116340
Idaho,2004,1733838,177528,1007906,548404,1744954,1519374,943113,507529,68732,4089,183197
Illinois,2004,21082441,1752663,7265072,12064706,21681903,18042474,10829189,6608575,604710,132957,2342761
Indiana,2004,10423578,651058,5044543,4727977,10312694,8326599,5005025,2986672,334902,65863,913045
Iowa,2004,4396136,353266,1953425,2089445,4443289,3672044,2256107,1236810,179127,20838,533020
Kansas,2004,4377709,339550,2250069,1788090,3982036,3531344,2132173,1229634,169537,4985,286696
Kentucky,2004,5135262,607212,2968391,1559659,5259909,4573150,2723672,1580235,269243,60000,499029
Louisiana,2004,5713792,785967,2740918,2186907,5708535,5200332,3137090,1743781,319461,24082,372374
Maine,2004,2228749,190456,870326,1167967,2291174,1960145,1304255,590947,64943,22949,189418
Maryland,2004,9123493,581542,3436703,5105248,8921938,8006635,4963083,2673482,370070,23593,581423
Massachusetts,2004,11979937,773841,4726087,6480009,12033345,10756272,6883753,3557933,314586,41769,570871
Michigan,2004,18663799,1425832,11129404,6108563,20060708,15922286,9094564,6332029,495693,333136,2127866
Minnesota,2004,8688315,507014,6019336,2161965,8963393,6919013,4506036,2087673,325304,327773,1039748
Mississippi,2004,3481643,516520,1907476,1057647,3473928,3072009,1831472,1035599,204938,11809,322751
Missouri,2004,7893957,620282,3460158,3813517,7896438,6715590,4061388,2357707,296495,153387,739399
Montana,2004,1270790,191840,560584,518366,1241417,1149729,703730,400634,45365,5798,64150
Nebraska,2004,2734724,240120,874804,1619800,2667987,2289490,1471641,712199,105650,4306,296377
Nevada,2004,3069531,221488,1850655,997388,3228619,2466131,1544881,839920,81330,17720,574726
New Hampshire,2004,2194562,119354,968313,1106895,2236010,1860794,1195488,607041,58265,6310,199297
New Jersey,2004,21398391,893414,8779155,11725822,21467607,18345610,10880932,6888193,576485,168130,1970698
New Mexico,2004,2855893,492102,1989564,374227,2882631,2368418,1340535,913532,114351,25946,443894
New York,2004,40820776,3058888,17705556,20056332,42953568,37314130,25761741,10702312,850077,318248,3867760
North Carolina,2004,10569600,1019981,6115388,3434231,10263463,8962522,5585476,2870473,506573,46128,943558
North Dakota,2004,925393,134759,336722,453912,957480,786860,481403,249023,56434,6382,97116
Ohio,2004,18878773,1272090,8145107,9461576,19375400,16342429,9406363,6384403,551663,260092,2139831
Oklahoma,2004,4622080,593693,2360286,1668101,4400069,3865005,2141737,1450284,272984,164739,320142
Oregon,2004,5086083,460902,2658285,1966896,5393871,4207059,2498566,1559219,149274,19430,486745
Pennsylvania,2004,21104028,1610741,7196172,12297115,22054811,17623553,10695295,6251075,677183,182523,1941824
Rhode Island,2004,1836758,132370,739698,964690,1745707,1639875,1034632,561479,43764,24718,28171
South Carolina,2004,5961494,616660,2741127,2603707,6138235,5022980,2971895,1780067,271018,61262,828530
South Dakota,2004,1007135,156117,343216,507802,1012096,869863,521961,306877,41025,3791,105677
Tennessee,2004,6349101,692353,2743825,2912923,6738601,5929523,3843346,1796619,289558,66839,574810
Texas,2004,36055119,3782724,13201169,19071226,38150452,30314600,18291531,10509643,1513426,284890,4812152
Utah,2004,2997200,299200,1654191,1043809,3066684,2440563,1552853,739158,148552,76079,479463
Vermont,2004,1525776,94546,801169,630061,1550157,1099172,700068,368208,30896,3307,77287
Virginia,2004,11151172,765353,4241483,6144336,11404055,9798208,6006830,3400515,390863,65966,1125646
Washington,2004,8790531,749399,5416352,2624780,9009980,7394646,4446860,2579078,368708,38999,1217468
West Virginia,2004,2585084,290752,1546921,747411,2603996,2377687,1458141,784602,134944,33961,181816
Wisconsin,2004,9183588,550729,4732025,3900834,9126345,8069091,4936038,2846939,286114,75491,540870
Wyoming,2004,974888,95995,507155,371738,953916,813909,483989,303976,25944,2313,126574
Alabama,2005,5889966,665924,3247562,1976480,5904664,5155780,3053380,1744013,358387,104218,511944
Alaska,2005,1599739,302846,878731,418162,1751718,1435708,829666,559084,46958,8824,268700
Arizona,2005,7550109,897553,3320196,3332360,7136794,5992336,3423716,2264931,303689,47408,861286
Arkansas,2005,3978240,447012,2995788,535440,3999568,3467532,2118580,1173603,175349,25516,393713
California,2005,62171797,7148863,34912166,20110768,66196072,50957058,31070450,18046385,1840223,1292242,10223657
Colorado,2005,6910296,472246,2954915,3483135,7284280,5927583,3380399,2343655,203529,56751,918985
Connecticut,2005,7898694,401558,2886076,4611060,7452057,6618665,4177845,2200133,240687,36701,496778
Delaware,2005,1431710,106513,894498,430699,1480157,1233698,761786,424220,47692,14394,172879
District of Columbia,2005,1109605,167922,0,941683,1085658,934103,459063,450060,24980,13691,134417
Florida,2005,23216404,2328513,9940813,10947078,23857012,19063563,11270907,6876508,916148,446857,3803764
Georgia,2005,14724731,1375318,6449103,6900310,14492666,12465381,7886069,3954215,625097,32925,1794894
Hawaii,2005,2274166,236973,1986615,50578,1765805,1648087,1007207,559178,81702,56247,61471
Idaho,2005,1796035,192039,1023550,580446,1819519,1594591,989703,531569,73319,4002,181622
Illinois,2005,21611180,1835598,7152163,12623419,22035569,18582202,11063949,6900767,617486,137741,2137191
Indiana,2005,11653165,708922,5224277,5719966,11071431,8925573,5343758,3228234,353581,60018,982893
Iowa,2005,4638125,363930,2051926,2222269,4599549,3813150,2323233,1301312,188605,26288,538313
Kansas,2005,4223632,356865,2360120,1506647,4076597,3610986,2174402,1257432,179152,4672,308365
Kentucky,2005,5444309,646215,3121503,1676591,5750671,4803184,2864633,1660844,277707,58872,741433
Louisiana,2005,5975074,844640,2787542,2342892,5941561,5457193,3264689,1854202,338302,24663,350658
Maine,2005,2324789,197651,895595,1231543,2325138,2050168,1355800,620991,73377,22941,128520
Maryland,2005,9906219,670998,3729262,5505959,9782665,8473353,5154440,2934277,384636,22983,947970
Massachusetts,2005,12976279,761359,5434971,6779949,12726283,11291727,7203922,3750687,337118,53960,803602
Michigan,2005,19106382,1513264,10990030,6603088,20489512,16255524,9269314,6479470,506740,334870,1937442
Minnesota,2005,8777363,529037,5912340,2335986,9082593,7106086,4637773,2157574,310739,335893,937357
Mississippi,2005,3639643,552628,1958500,1128515,3610904,3250325,1935459,1096574,218292,12898,281713
Missouri,2005,8340865,694008,3640728,4006129,8170965,6977029,4224716,2452665,299648,157882,708726
Montana,2005,1293070,191687,578321,523062,1268328,1180381,721019,412180,47182,5873,59998
Nebraska,2005,2895640,295968,878576,1721096,2708776,2362924,1487488,751435,124001,3967,264339
Nevada,2005,3381646,251421,1996995,1133230,3483540,2689196,1665706,926213,97277,18206,584219
New Hampshire,2005,2332695,125956,878957,1327782,2333264,1972270,1261140,651058,60072,5596,163780
New Jersey,2005,23026334,937945,9340953,12747436,23023365,19600012,11575456,7408034,616522,201421,2179605
New Mexico,2005,2982991,480888,2102670,399433,3011696,2472014,1395996,955266,120752,28248,466166
New York,2005,43936450,3156023,19202847,21577580,45086872,40052498,27866708,11303872,881918,300261,3342778
North Carolina,2005,11098165,1116670,6440768,3540727,10917913,9733787,6160224,3039968,533595,46618,791873
North Dakota,2005,969520,148482,341066,479972,985502,818810,501563,258404,58843,5996,88341
Ohio,2005,19746239,1413888,8313858,10018493,19785561,16795365,9700668,6526386,568311,262450,2046199
Oklahoma,2005,4892548,678448,2440741,1773359,4785987,4159837,2303527,1569038,287272,180049,397131
Oregon,2005,5022050,498217,2440758,2083075,5597579,4512169,2671228,1680005,160936,20197,364717
Pennsylvania,2005,22657782,1750988,7667114,13239680,23183924,18636276,11284717,6638401,713158,207161,1914407
Rhode Island,2005,1903472,145957,747359,1010156,1790591,1685138,1023496,616544,45098,29752,20070
South Carolina,2005,6337711,639308,2832245,2866158,6572192,5319534,3134658,1903031,281845,60262,938347
South Dakota,2005,1053504,176738,350316,526450,1059303,899010,539413,316892,42705,4167,124727
Tennessee,2005,6806262,787269,2962151,3056842,7067521,6332637,4120045,1907907,304685,73379,483208
Texas,2005,37783715,4095588,13017433,20670694,40302144,31498733,18950703,10963041,1584989,298738,5592231
Utah,2005,3181279,326400,1729443,1125436,3188018,2565779,1632553,771298,161928,80064,467720
Vermont,2005,1628681,95016,1090494,443171,1634534,1164968,739981,392627,32360,4217,63280
Virginia,2005,12182657,826830,4871813,6484014,12385157,10705815,6565022,3699703,441090,69114,1180309
Washington,2005,9141383,796450,5588494,2756439,9399603,7710966,4629347,2692637,388982,39637,1292543
West Virginia,2005,2701056,329159,1607433,764464,2698703,2516490,1524187,852145,140158,34107,137026
Wisconsin,2005,9584108,565072,4770290,4248746,9433502,8372713,5128207,2944041,300465,81672,472358
Wyoming,2005,1132160,106484,585789,439887,1033603,862900,510498,324752,27650,2007,158464
Alabama,2006,6364028,730112,3540436,2093480,6591429,5688331,3326656,1983482,378193,107743,666550
Alaska,2006,1625138,289855,918976,416307,1817656,1522995,871434,601197,50364,7673,236931
Arizona,2006,8084068,963600,3635388,3485080,7934177,6500561,3733989,2436340,330232,62670,1143569
Arkansas,2006,4247664,482038,3108910,656716,4343879,3749445,2265821,1297595,186029,25036,449548
California,2006,66302860,7421482,37439651,21441727,68722432,53402930,32387671,19079354,1935905,1323339,10047331
Colorado,2006,7295561,520673,3087795,3687093,7803324,6286892,3562901,2518038,205953,92943,1024225
Connecticut,2006,8436197,388080,3148507,4899610,7982143,7013977,4406855,2354944,252178,38690,603391
Delaware,2006,1544615,109044,969809,465762,1646885,1336862,817872,467410,51580,13078,227679
District of Columbia,2006,1092863,127371,0,965492,1081887,938738,478688,433933,26117,13386,126807
Florida,2006,25423686,2460004,10215772,12747910,26609155,20669572,12211602,7492039,965931,471372,4860930
Georgia,2006,16165924,1455212,7136011,7574701,15839227,13688450,8583817,4432252,672381,36207,1930006
Hawaii,2006,2705532,225393,2431735,48404,1939968,1805522,1077351,643718,84453,59458,74988
Idaho,2006,1875346,201040,1046128,628178,1903720,1663646,1027985,557225,78436,4187,189807
Illinois,2006,22724326,1886721,7144629,13692976,22622323,19238674,11327481,7242674,668519,149715,2021097
Indiana,2006,11578988,740036,5380185,5458767,11260755,9023234,5348450,3313154,361630,62583,985099
Iowa,2006,4898509,397290,2158255,2342964,4930613,4041722,2425326,1428006,188390,27293,592789
Kansas,2006,4648920,340728,2640757,1667435,4439000,3911138,2378494,1345794,186850,4608,358866
Kentucky,2006,6002056,680251,3439085,1882720,6112978,5207223,3082253,1830653,294317,62404,686124
Louisiana,2006,6780668,1276913,2814302,2689453,6032182,5447333,3167501,1962367,317465,21056,454736
Maine,2006,2381908,201447,947857,1232604,2381439,2114380,1376177,660506,77697,24282,115871
Maryland,2006,10697117,663284,4189334,5844499,10585292,9176257,5535192,3217615,423450,24972,1037525
Massachusetts,2006,14160242,749362,6175593,7235287,13503621,11959082,7613569,3989906,355607,57907,904979
Michigan,2006,19714584,1524718,11172247,7017619,20626758,16550036,9400832,6627833,521371,351574,1842154
Minnesota,2006,9314477,558287,6368364,2387826,9671933,7475286,4818788,2317030,339468,357891,1063443
Mississippi,2006,4279581,856762,2108733,1314086,4066036,3566839,2096028,1244115,226696,16414,413302
Missouri,2006,8846493,740742,3830104,4275647,8654672,7424897,4483151,2619786,321960,145503,758141
Montana,2006,1375638,190226,626958,558454,1377599,1246503,753664,442662,50177,6465,97873
Nebraska,2006,3107061,301764,948001,1857296,2867250,2499767,1570629,805633,123505,5271,280954
Nevada,2006,3691628,258814,2137351,1295463,4022979,3031426,1840698,1088646,102082,17142,760380
New Hampshire,2006,2459051,130088,925677,1403286,2494247,2090970,1332640,696005,62325,6081,201565
New Jersey,2006,23915685,982557,9540387,13392741,24177714,20851581,12309954,7892051,649576,187717,2033738
New Mexico,2006,3094036,446994,2197044,449998,3099738,2642181,1500318,1016791,125072,28274,385590
New York,2006,47018793,3340216,20183518,23495059,48359774,42409290,29589517,11898562,921211,343588,3970683
North Carolina,2006,11709885,1184622,6846954,3678309,11725031,10256443,6342589,3344466,569388,49222,1052527
North Dakota,2006,1008339,151248,348475,508616,1017084,844613,513113,269235,62265,6261,92963
Ohio,2006,20957714,1479925,8695982,10781807,20589584,17432429,10048571,6796495,587363,265310,2177340
Oklahoma,2006,5120286,654807,2570987,1894492,5094695,4416499,2437935,1677749,300815,191270,436567
Oregon,2006,5429145,516962,2737088,2175095,5386128,4808869,2834418,1803634,170817,18610,319231
Pennsylvania,2006,23950553,1794419,7973651,14182483,24195122,19445919,11675380,7025760,744779,221884,2009924
Rhode Island,2006,2004709,149493,797349,1057867,1983578,1858405,1120778,690355,47272,32855,28706
South Carolina,2006,6752813,664113,3023114,3065586,7148081,5682676,3310899,2071439,300338,65947,1128702
South Dakota,2006,1086433,177452,355719,553262,1052315,931497,552199,334845,44453,4428,86227
Tennessee,2006,7195519,793477,3097824,3304218,7395357,6564664,4248091,1995464,321109,74547,573015
Texas,2006,41142403,4735208,13503141,22904054,43394244,33650419,20299749,11672256,1678414,301704,6170544
Utah,2006,3381146,342862,1825910,1212374,3371338,2699345,1709307,821539,168499,86629,504723
Vermont,2006,1725093,102791,1153104,469198,1711762,1208105,763591,410862,33652,3955,59192
Virginia,2006,13153845,866982,5126114,7160749,13481336,11469488,7024659,3974403,470426,67600,1298749
Washington,2006,9679682,801941,5899155,2978586,9915617,8078205,4826779,2852334,399092,41817,1422488
West Virginia,2006,2814536,346628,1649661,818247,2852607,2616543,1569685,897874,148984,35336,187462
Wisconsin,2006,9855692,580810,5066552,4208330,9779642,8669565,5290595,3064437,314533,86247,545716
Wyoming,2006,1150345,115937,507178,527230,1146527,964662,571127,362807,30728,3582,168214
Alabama,2007,7069040,689072,4070949,2309019,7196459,6239510,3653466,2174210,411834,134243,687816
Alaska,2007,1800616,282270,1052357,465989,1938755,1626109,927307,645857,52945,7754,257723
Arizona,2007,8724434,953861,4204089,3566484,8709531,6978690,3977800,2656438,344452,58617,1436673
Arkansas,2007,4415981,483689,3319030,613262,4801716,3934071,2337748,1400984,195339,255115,470562
California,2007,72516936,7200298,42333637,22983001,73225422,57394696,34685013,20655194,2054489,1413051,10058842
Colorado,2007,7689014,529854,3307016,3852144,8039146,6498976,3782300,2483095,233581,53173,1083411
Connecticut,2007,8913149,386553,3299175,5227421,8685421,7385617,4610572,2503468,271577,40366,913165
Delaware,2007,1694929,102114,1071957,520858,1705204,1361768,825084,481610,55074,13269,245757
District of Columbia,2007,1148358,134700,0,1013658,1140506,953162,491992,437772,23398,17305,167103
Florida,2007,28898362,2489027,11578932,14830403,29849892,22614069,13476109,8136539,1001421,513674,5992654
Georgia,2007,17755989,1475463,7907177,8373349,17389530,14900316,9507096,4672304,720916,36423,2271958
Hawaii,2007,2985593,256696,2681049,47848,2199604,1998913,1177781,732536,88596,62647,138044
Idaho,2007,2011951,202977,1338182,470792,1960472,1742003,1069134,590192,82677,4061,163583
Illinois,2007,23897153,1862627,7566377,14468149,23416369,19898852,11692204,7524043,682605,151395,2082140
Indiana,2007,10458932,765168,5224450,4469314,11462062,9248359,5511104,3351081,386174,62016,887670
Iowa,2007,5194536,390585,2279228,2524723,5198975,4236395,2557629,1480218,198548,22454,647628
Kansas,2007,5038100,346441,2889107,1802552,4823931,4216021,2602503,1418802,194716,5033,427238
Kentucky,2007,6226696,677570,3557084,1992042,6351636,5370464,3184235,1877438,308791,62704,755710
Louisiana,2007,7048732,1234006,2911249,2903477,6657341,5913127,3430268,2140586,342273,20764,618284
Maine,2007,2538161,198101,1081891,1258169,2501127,2256944,1459635,710785,86524,24629,91361
Maryland,2007,11674965,661677,4684827,6328461,11541225,9984444,6031042,3503877,449525,25203,1170502
Massachusetts,2007,14407777,754202,6485380,7168195,14315518,12676453,8053653,4248353,374447,47655,951016
Michigan,2007,20576110,1541818,11383198,7651094,19839838,16857131,9608836,6721838,526457,345413,1629007
Minnesota,2007,9693509,546297,6267386,2879826,10030105,7809580,5048143,2405182,356255,374627,1074228
Mississippi,2007,4220926,712846,2214700,1293380,4158733,3692878,2160396,1296685,235797,15742,379581
Missouri,2007,8908844,730811,3641310,4536723,9245525,7815078,4743390,2738098,333590,151801,925265
Montana,2007,1474306,190631,702476,581199,1442434,1309518,793711,463422,52385,6439,100592
Nebraska,2007,3234014,298196,992032,1943786,3117931,2648136,1673992,845739,128405,2862,378827
Nevada,2007,4006081,277849,2266751,1461481,4346371,3379218,2047045,1216122,116051,23867,731227
New Hampshire,2007,2600123,137058,936882,1526183,2608190,2194507,1395619,733978,64910,5698,208008
New Jersey,2007,25293076,991769,10101279,14200028,25572112,22246681,13250745,8316185,679751,188261,1997462
New Mexico,2007,3272953,444466,2360542,467945,3279467,2830710,1610295,1103097,117318,2615,396529
New York,2007,50762544,3269310,22845772,24647462,51253984,45072174,31465706,12638159,968309,350319,4216048
North Carolina,2007,13063307,1184934,7481148,4397225,12794086,11163065,6987589,3582953,592523,50074,1166854
North Dakota,2007,1045678,150165,355662,539851,1042175,871273,523778,283833,63662,6029,90844
Ohio,2007,22142424,1461326,9341723,11339375,21336580,17732938,10202242,6930905,599791,276408,2595974
Oklahoma,2007,5491931,650579,2782356,2058996,5505213,4741401,2688963,1732136,320302,206245,502002
Oregon,2007,5648586,526411,2908595,2213580,5634955,5087224,2999104,1908603,179517,19893,293730
Pennsylvania,2007,25334577,1821479,8593421,14919677,25627083,20108964,11994620,7333616,780728,241764,2533079
Rhode Island,2007,2100679,165167,817792,1117720,2082332,1958018,1177636,731694,48688,36709,20234
South Carolina,2007,7130274,680718,3120416,3329140,7725514,6024515,3481608,2222238,320669,64296,1290372
South Dakota,2007,1136570,174096,371645,590829,1104026,962617,573916,342840,45861,4422,105370
Tennessee,2007,7617488,805633,3342186,3469669,7817659,6958807,4473035,2144367,341405,73182,593354
Texas,2007,44355326,4423644,15952564,23979118,45938078,35289505,21061312,12468330,1759863,313487,6654163
Utah,2007,3656090,343915,1977900,1334275,3618540,2864890,1816456,871613,176821,89660,579188
Vermont,2007,1836316,97086,1237083,502147,1804519,1273719,800453,439237,34029,7574,70359
Virginia,2007,14176385,890144,5796043,7490198,14700853,12465672,7630837,4338027,496808,76795,1473546
Washington,2007,10350748,801339,6339782,3209627,10682397,8595766,5148806,3028183,418777,44612,1624443
West Virginia,2007,2905489,353571,1677212,874706,2983267,2703483,1608247,941055,154181,35468,228873
Wisconsin,2007,10154985,574090,5175386,4405509,9988878,8938400,5459295,3147269,331836,88863,467948
Wyoming,2007,1477891,111051,722364,644476,1390344,1123899,661713,428613,33573,8780,246698
Alabama,2008,7726213,711391,4649053,2365769,7847387,6765565,3947003,2373070,445492,119254,816799
Alaska,2008,2188587,303399,1419318,465870,2274819,1911066,1113396,740000,57670,7984,307512
Arizona,2008,9272152,989340,4458836,3823976,9581201,7511369,4251747,2878922,380700,62934,1571620
Arkansas,2008,4608356,488378,3487063,632915,4720720,4070186,2388502,1462092,219592,28597,463449
California,2008,74626928,7227456,43187637,24211835,76618865,61043972,36542347,22310865,2190760,1502196,9388155
Colorado,2008,8070129,543952,3398303,4127874,8884786,7244821,4221868,2765773,257180,56898,1157579
Connecticut,2008,9322225,386592,3520752,5414881,9046750,7822197,4878853,2669596,273748,39960,826090
Delaware,2008,1694998,104304,1037624,553070,1746925,1402771,852701,494996,55074,17516,241390
District of Columbia,2008,1224312,85568,0,1138744,1224785,988672,520090,439197,29385,13647,202768
Florida,2008,30001821,2480218,11830218,15691385,31219589,23903255,14392625,8465282,1045348,513515,5980134
Georgia,2008,18683630,1449557,8432720,8801353,19172087,16178211,10289480,5115445,773286,40276,2703375
Hawaii,2008,2541703,310732,2154313,76658,2242408,2122779,1281836,742938,98005,25174,94455
Idaho,2008,2151476,205035,1409151,537290,2001328,1842575,1124302,627415,90858,4040,93431
Illinois,2008,25431714,1996023,8357924,15077767,25696866,21566773,12676038,8161836,728899,156553,2559210
Indiana,2008,11340157,808860,5367296,5164001,10865851,9340977,5504992,3433093,402892,59051,941950
Iowa,2008,5496908,391985,2465108,2639815,5495756,4495682,2737356,1560614,197712,23059,672361
Kansas,2008,5378095,344198,3138799,1895098,5122049,4520267,2770019,1540862,209386,3915,428160
Kentucky,2008,6637062,697220,3841470,2098372,6793215,5784936,3422359,2027937,334640,67401,760566
Louisiana,2008,7751886,1290154,3376556,3085176,7599993,6599291,3879560,2344416,375315,21825,787702
Maine,2008,2594335,194914,1122001,1277420,2582293,2314164,1359995,843451,110718,24839,113571
Maryland,2008,13098112,701595,5499326,6897191,12739693,10965435,6614339,3878575,472521,27986,1358068
Massachusetts,2008,14633578,742093,6114211,7777274,14631545,13308358,8479345,4447719,381294,60359,655884
Michigan,2008,20441973,1492685,11170772,7778516,20703780,16887975,9608877,6735708,543390,352962,1375044
Minnesota,2008,10118118,558886,6513673,3045559,10462624,8206840,5242058,2589268,375514,392628,1136550
Mississippi,2008,4449009,708253,2389484,1351272,4363308,3897577,2286231,1364586,246760,18123,377201
Missouri,2008,9335599,723460,3808601,4803538,9900419,8296378,5004354,2939293,352731,165869,1070552
Montana,2008,1562815,185898,766328,610589,1557678,1379315,831718,491537,56060,6696,141860
Nebraska,2008,3383157,321975,1091160,1970022,3325663,2786052,1784350,869629,132073,2952,444442
Nevada,2008,4338601,280898,2493641,1564062,4881218,3552323,2094491,1329327,128505,22225,1058467
New Hampshire,2008,2715463,136012,1008333,1571118,2715961,2346059,1495009,783298,67752,6317,163893
New Jersey,2008,25916004,976009,10359646,14580349,26168480,23183738,13739017,8737387,707334,192079,1625458
New Mexico,2008,3569311,467492,2542639,559180,3599724,2983848,1732652,1129277,121919,3609,569550
New York,2008,53147343,3129776,24036865,25980702,54870811,48053771,33446544,13610428,996799,378631,4805621
North Carolina,2008,13610326,1240410,8009636,4360280,13731201,11450727,7229214,3566002,655511,63152,1728313
North Dakota,2008,1104803,145770,383307,575726,1085970,918739,552250,300054,66435,7016,88292
Ohio,2008,22746589,1523431,9777048,11446110,21951104,18284826,10494471,7164617,625738,271097,2568654
Oklahoma,2008,5780151,642088,2957101,2180962,5667749,4931406,2773416,1823162,334828,220359,459000
Oregon,2008,6107684,515223,3200001,2392460,6407512,5469985,3217111,2061901,190973,21366,621540
Pennsylvania,2008,26357235,1868700,9032615,15455920,26597713,20837014,12375013,7655651,806350,288755,2537699
Rhode Island,2008,2173888,164966,836509,1172413,2175172,2046900,1229747,765970,51183,36973,28023
South Carolina,2008,7743317,693967,3916453,3132897,8167262,6560155,3745507,2467160,347488,41883,1179283
South Dakota,2008,1190917,180925,394721,615271,1172715,1017533,609848,351235,56450,4631,114678
Tennessee,2008,8086152,840919,3711646,3533587,8488521,7455053,4709467,2373319,372267,79361,735501
Texas,2008,46245975,4501845,19923849,21820281,50205827,38118795,22845539,13360064,1913192,301640,8133118
Utah,2008,4198001,380907,2363716,1453378,4337917,3207223,2068264,948423,190536,99247,929772
Vermont,2008,1888635,94504,1290067,504064,1888133,1329946,831132,463215,35599,8490,83821
Virginia,2008,14768120,897627,5957786,7912707,15236306,13125471,8003167,4645375,476929,78145,1528769
Washington,2008,11195224,895642,6932500,3367082,11677666,9372620,5561706,3369299,441615,60240,1797341
West Virginia,2008,2965828,320529,1723068,922231,3068910,2775676,1667812,945152,162712,27922,249687
Wisconsin,2008,10619354,629423,5221550,4768381,10545964,9269637,5619617,3294291,355729,95992,666877
Wyoming,2008,1602514,100207,846239,656068,1517325,1190136,703831,449989,36316,7036,309892
Alabama,2009,7186390,728795,4161103,2296492,7815467,6616423,3836398,2331552,448473,112546,924956
Alaska,2009,2158970,312667,1357747,488556,2396412,2025407,1129756,832783,62868,7967,303165
Arizona,2009,8802515,1044140,3806064,3952311,9580393,7670463,4296503,2983729,390231,65172,1312659
Arkansas,2009,4753142,534510,3530487,688145,5017352,4136788,2417974,1492691,226123,306934,409763
California,2009,73958896,9745250,40084244,24129402,74766086,59551750,35617964,21693675,2240111,1519262,8881265
Colorado,2009,8310673,560538,3634018,4116117,8682489,7090911,4108304,2708535,274072,56056,1035058
Connecticut,2009,9681268,403017,3606594,5671657,9323053,8149504,5054397,2805173,289934,40751,763075
Delaware,2009,1718993,109682,1047418,561893,1798244,1436284,877678,496383,62223,18589,254460
District of Columbia,2009,801008,75856,0,725152,805362,727369,330698,370127,26544,11970,66023
Florida,2009,26494500,2694566,9047586,14752348,28867429,22979072,13884278,8067350,1027444,518976,4533913
Georgia,2009,17972839,1644548,7739086,8589205,19025136,15999428,10063924,5135180,800324,36738,2712073
Hawaii,2009,2689758,392837,2205032,91889,2318671,2225437,1402305,718309,104823,24650,68584
Idaho,2009,2182273,218777,1459554,503942,2078446,1900207,1157633,646213,96361,4215,111190
Illinois,2009,26987426,3346509,7879160,15761757,27716187,23054921,13520105,8764971,769845,163105,2884993
Indiana,2009,12999357,1403839,5804809,5790709,11218398,9641366,5548292,3681825,411249,65349,899628
Iowa,2009,5732319,431142,2545353,2755824,5732186,4732655,2914176,1615189,203290,22693,672339
Kansas,2009,5615208,378810,3291485,1944913,5827751,4680505,2883104,1578417,218984,4967,958961
Kentucky,2009,6706922,719997,3870440,2116485,6831006,5865030,3468191,2050683,346156,65373,720114
Louisiana,2009,7984550,1238259,3568903,3177388,8053960,6980822,4051985,2542723,386114,22178,824390
Maine,2009,2623127,245063,1107152,1270912,2624504,2363070,1383650,857706,121714,26664,108016
Maryland,2009,13147931,694846,5697257,6755828,12757599,11348181,6899346,3984072,464763,25573,961161
